Aspect_ratio,Avg_rating,Budget,Certificate,Country_of_origin,Director,Genres,Language,Production_companies,Release_date,Runtime,Sound_mix,Stars,Title,Writer,critic_reviews,description,id,total_ratings,user_reviews
1.33 : 1,5.1,,,United States,D.W. Griffith,"Short , Drama",,,"November 4, 1909 (United States)",10min,Silent,"Arthur V. Johnson , Marion Leonard , Frank Powell",Nursing a Viper,,2,"During the French Revolution, a wealthy couple lives safely by professing republican beliefs. When a mob attacks a nearby chateau an aristocrat bursts into the couple's home. They save his l...",tt00000986,105,5
1.33 : 1,,,,United States,D.W. Griffith,"Short , Drama",,,"May 6, 1909 (United States)",8min,Silent,"Florence Lawrence , Anita Hendrie , Anthony O'Sullivan",The Note in the Shoe,D.W. Griffith,,"A shoe-factory worker puts a note in a shoe box offering to marry the lucky buyer. As a result, she is dismissed from her job, but her employer finds her so attractive that he suggests a new...",tt00000985,,
,4.8,,,Denmark,,,None,,"September 3, 1909 (Denmark)",,Silent,,De onde Veje,,,,tt00000992,15,
,,,,Mexico,Hermanos Alva,,None,,,,Silent,,Niños en la alameda,,,,tt00000984,,
1.33 : 1,4.7,,,United States,D.W. Griffith,"Short , Comedy",,,"August 26, 1909 (United States)",3min,Silent,"James Kirkwood , Billy Quirk , Mary Pickford","Oh, Uncle!",D.W. Griffith,,"Harry's rich old bachelor uncle thinks Harry is still single. When Uncle announces a visit, Harry's wife has to play the part of the housekeeper so Uncle doesn't discover the truth.",tt00000989,36,
1.33 : 1,,,,United Kingdom,Theo Frenkel,"Short , Drama",None,,October 1909 (United Kingdom),,Silent,,A Narrow Escape from Lynching,,,A dumb witness saves a miner when a rival frames him for shooting a girl.,tt00000980,,
1.33 : 1,,,,United Kingdom,Theo Frenkel,"Short , Comedy",None,,July 1909 (United Kingdom),,Silent,,The New Servant,,,A man poses as a maid to fool an amorous man and win his daughter.,tt00000982,,
1.33 : 1,5.3,,,United States,J. Stuart Blackton,"Short , Drama",None,,"April 10, 1909 (United States)",,Silent,"William Humphrey , John G. Adolfi , Julia Arthur","Napoleon, the Man of Destiny","Eugene Mullin , (scenario)",,"The picture opens with Napoleon at Malmaison after the battle of Waterloo. He visits the room where Josephine died, enters slowly, walks sadly around, looks at her portrait, then sits in a c...",tt00000979,27,
1.33 : 1,,,,Germany,,,None,,,,Silent,,Mutterliebe,,,,tt00000977,,
1.33 : 1,5.5,,,United States,D.W. Griffith,"Short , Drama",,"Biograph Company , Museum of Modern Art (MoMA)","July 1, 1909 (United States)",11min,Silent,"Rose King , Herbert Prior , Caroline Harris",The Necklace,,,"Miss Louise Leroque was one of those charming young ladies, born, as if through an error of destiny, into a family of clerks, and after she married John Kendrick, she suffered an incessant y...",tt00000981,44,
1.33 : 1,,,,United States,D.W. Griffith,,,,"June 10, 1909 (United States)",2min,Silent,"Marion Leonard , Mack Sennett , Arthur V. Johnson",A New Trick,D.W. Griffith,,"To help a woman whose purse has been snatched, two college boys stage a murder scene and trap the purse snatcher.",tt00000983,,
1.33 : 1,5.7,,,United States,D.W. Griffith,"Short , Comedy",,,"August 9, 1909 (United States)",4min,Silent,"John R. Cumpson , Florence Lawrence , Mack Sennett",Mr. Jones' Burglar,D.W. Griffith,,"Everything on this old mundane sphere has its use. Even the burglar's visit, strange as it may seem, may prove a blessing, as this Biograph comedy will verify. Jones has an insatiable longin...",tt00000975,16,
1.33 : 1,4.7,,,United States,D.W. Griffith,"Comedy , Short",,,"August 19, 1909 (United States)",5min,Silent,"John R. Cumpson , Florence Lawrence , Anthony O'Sullivan","Mrs. Jones' Lover; or, 'I Want My Hat'",D.W. Griffith,,Mr. Jones jumps to the wrong conclusions when he sees a bouquet of flowers and a man's hat in the parlor.,tt00000976,18,
1.33 : 1,5.8,,,France,Léonce Perret,"Short , Biography , Drama",None,,"October 10, 1910 (Denmark)",,Silent,"André Bacqué , Abel Gance , René d'Auchy",Molière,,,"We first see Moliere at work in his father's shop, when a boy. All the employees are busy at their appointed tasks, except the youthful playwright, who snatches time to re-read one of his ea...",tt00000970,71,
1.33 : 1,5.1,,,United States,D.W. Griffith,"Short , Comedy",,,"January 21, 1909 (United States)",10min,Silent,"John R. Cumpson , Florence Lawrence , Linda Arvidson",Mr. Jones Has a Card Party,,,"Mr. Jones, since his last escapade, had made strenuous efforts to amend the reputation he had gained in the eyes of the ladies of the Temperance League. But Oh! the ordeal, for such it was, ...",tt00000974,46,
1.33 : 1,5.8,,,United States,D.W. Griffith,"Short , Drama",,,"November 25, 1909 (United States)",11min,Silent,"Mary Pickford , Owen Moore , James Kirkwood",The Mountaineer's Honor,,,"A mountain girl is seduced by a traveler from the valley. Her brother tracks the seducer down and kills him. In retaliation, the sheriff captures the brother and prepares to lynch him. Mothe...",tt00000972,78,
1.33 : 1,6.8,,,Denmark,Viggo Larsen,,None,,,,Silent,,Napoleon og hans lille Trompetist,,,,tt00000978,8,
1.33 : 1,6.3,,,,Alfred Machin,"Short , Drama , Romance",None,,December 1909 (France),6min,Silent,"Pitje Ambreville , Berryer , Mademoiselle Saunières",Le Moulin maudit,,,"Dutch girl Johanna loves poor Joachim, but marries the weathy Miller. When the miller finds out, he takes revenge.",tt00000971,141,
1.33 : 1,,,,United Kingdom,Theo Frenkel,"Short , Comedy",None,,July 1909 (United Kingdom),,Silent,,Mistaken Identity,,,A strong girl saves a man from being framed for jewel theft.,tt00000968,,
1.33 : 1,6.4,,,United States,J. Stuart Blackton,"Short , Drama , History",None,,"November 27, 1909 (United States)",44min,Silent,"William V. Ranous , Maurice Costello , Hazel Neason",Les Misérables,"Victor Hugo , (novel)",,"The fourth, and last, of the famous scripts de luxe derived from incidents from Victor Hugo's ""Les Miserables."" In this the story is followed from the love of Marius and Cosette to the death...",tt00000969,25,
1.33 : 1,5.8,,,United States,D.W. Griffith,"Short , Drama",,,"November 25, 1909 (United States)",11min,Silent,"Mary Pickford , Owen Moore , James Kirkwood",The Mountaineer's Honor,,,"A mountain girl is seduced by a traveler from the valley. Her brother tracks the seducer down and kills him. In retaliation, the sheriff captures the brother and prepares to lynch him. Mothe...",tt0000972,78,
1.33 : 1,,,,United States,Gilbert M. 'Broncho Billy' Anderson,"Comedy , Short",None,,"March 24, 1909 (United States)",,Silent,,Midnight Disturbance,,,"A burglar has entered the top story of a flat by means of the lire escape, and has the misfortune to arouse the occupants. They give chase, forcing the burglar to return to the fire-escape f...",tt00000965,,
1.33 : 1,4.7,,,United States,D.W. Griffith,,,,"June 24, 1909 (United States)",3min,Silent,"Mary Pickford , Billy Quirk , James Kirkwood",The Mexican Sweethearts,D.W. Griffith,,"A Mexican spitfire romances an American soldier to make her Mexican lover jealous. When the lover is about to kill his rival, she convinces him it was all a joke and the two reconcile.",tt00000962,13,
1.33 : 1,5.7,,,United States,,"Drama , Fantasy , Romance , Short",,,"December 25, 1909 (United States)",12min,Silent,"Walter Ackerman , Charles Chapman , Dolores Costello",A Midsummer Night's Dream,,4,"In ancient Athens, four young lovers escape into the woods. Meanwhile, tradesmen rehearse a play. All of them suffer from the shenanigans of mischievous fairies.",tt00000966,326,9
1.33 : 1,5.3,,,United States,D.W. Griffith,,,,"November 18, 1909 (United States)",6min,Silent,"Billy Quirk , Mary Pickford , Dorothy West",A Midnight Adventure,D.W. Griffith,,"Mercedes orders her sweetheart to prove his love by doing something dangerously heroic. He agrees, breaking into another young woman's house in order to steal a photograph. The young woman c...",tt00000964,16,
1.33 : 1,4.7,,,United States,D.W. Griffith,,,,"August 30, 1909 (United States)",7min,Silent,"Arthur V. Johnson , Linda Arvidson , Marion Leonard",The Mills of the Gods,D.W. Griffith,,A woman in love with an unsuccessful author tries to convince a publisher to accept his work.,tt00000967,15,
1.33 : 1,,,,United States,Gilbert M. 'Broncho Billy' Anderson,"Short , Western",None,,"May 5, 1909 (United States)",,Silent,"Gilbert M. 'Broncho Billy' Anderson , Ben Turpin",A Mexican's Gratitude,,,"A sheriff saves a Mexican from being hanged for horse theft. In a gesture of thanks, the Mexican writes the word ""gratitude"" upon a card. After rending the card in two, he gives one half to ...",tt00000963,,
1.33 : 1,6.3,,,France,Max Linder,"Short , Comedy",,,August 1914 (France),20min,Silent,"Max Linder , Charles de Rochefort , Jacques Vandenne",Mariage forcé,"Molière , (comedy)",,Again Max is forced into marriage. If he doesn't marry soon he won't get any more money from his uncle. As all three candidates refuse his proposal he talks his servant into playing the brid...,tt00000957,44,
1.33 : 1,4.7,,,United States,D.W. Griffith,"Western , Short",,"Biograph Company , Museum of Modern Art (MoMA)","August 5, 1909 (United States)",11min,Silent,"Florence Lawrence , Frank Powell , Owen Moore",The Mended Lute,Stanner E.V. Taylor,,"Rising Moon loves Little Bear, but her father prefers Standing Rock, a richer suitor. Standing Rock takes her to his teepee under guard, but she escapes and joins Little Bear as they attempt...",tt00000960,263,
1.33 : 1,6.8,,,United States,D.W. Griffith,"Short , Drama",,,"January 4, 1909 (United States)",9min,Silent,"Anita Hendrie , Marion Leonard , Harry Solter",The Maniac Cook,D.W. Griffith,,,tt00000956,15,
1.33 : 1,8.2,,,United States,D.W. Griffith,"Short , Drama",,,"July 5, 1909 (United States)",10min,Silent,"Frank Powell , James Kirkwood , Robert Harron",The Message,Frank E. Woods,,"Effie marries an honest farmer, rejecting a suitor from the city. Years later he returns and tries to persuade her to run away with him.",tt00000961,22,
,,,,Spain,Ignacio Coyne,,None,,,,Silent,,Melilla y el Gurugu,,,Short documentary about the Spanish war in Africa.,tt00000959,,
1.33 : 1,5.0,,,United States,D.W. Griffith,"Short , Drama",,,"March 29, 1909 (United States)",5min,Silent,"Florence Lawrence , Adele DeGarde , Marion Leonard",The Medicine Bottle,D.W. Griffith,,"While she attends a party, Mrs. Ross leaves her young daughter to care for her bed-ridden mother. At the party, Mrs. Ross realizes she left the wrong medicine, and desperately tries to conta...",tt00000958,13,
1.37 : 1,,,,United States,,"Short , Comedy",,,"November 12, 1909 (United States)",,Silent,,A Man with Three Wives,,,"The location of this picture is not in Utah as might be inferred from the title, but right here in New York; and the situation is not so serious as it sounds. Jack Howard who, with his chum ...",tt00000955,,
,4.3,,,United States,D.W. Griffith,,None,,,,Silent,,Mamma,,,,tt00000954,16,
1.33 : 1,,,,France,,,None,,,,Silent,,La légende de l'arc-en-ciel,Abel Gance,,,tt00000948,,
1.33 : 1,,,,United States,Gilbert M. 'Broncho Billy' Anderson,"Short , Drama",None,,"August 11, 1909 (United States)",,Silent,,A Maid of the Mountains,Gilbert M. 'Broncho Billy' Anderson,,A drama of the mountains of Switzerland.,tt00000953,,
1.33 : 1,,,,France,André Calmettes,"Short , Drama",None,,1910 (France),7min,Silent,"André Calmettes , Germaine Dermoz",Madame de Langeais,,,"General de Montriveau is in love with the Duchess Antoinette de Langeais who refuses to accept him. Helped by the powerful group of Thirteen, he chases her to the monastery where she has tak...",tt00000952,,
1.33 : 1,,,,Denmark,,,None,,,,Silent,,Det løbske gasrør,,,,tt00000949,,
1.33 : 1,4.8,,,Italy,Mario Caserini,"Short , Drama",,,November 1909 (Italy),,Silent,"Dante Cappelli , Maria Caserini , Amleto Palormi",Macbeth,"William Shakespeare , (play)",,"The play opens with the scene on the wild heath where the three witches appear to Macbeth and Banquo, as they are returning from their victorious battle with the rebels. They predict the kin...",tt00000950,16,
1.33 : 1,,,,Denmark,Viggo Larsen,"Short , Drama",None,,1909 (Denmark),,Silent,"August Blom , Gudrun Kjerulf , Viggo Larsen",Madame Sans-Gêne,,,"Opening in the lodgings of the Lieut. Buonaparte, then an impecunious young officer, the subject soon introduces us to Madame Sans Gene, Who brings Napoleon his washing and submits to a kiss...",tt00000951,,
,,,,Denmark,,,None,,,,Silent,"Viggo Larsen , Petrine Sonne",Lægens offer,,,,tt00000947,,
1.33 : 1,4.7,,,United States,D.W. Griffith,"Short , Drama",,,"April 26, 1909 (United States)",5min,Silent,"Marion Leonard , Mack Sennett , Barry O'Moore",Lucky Jim,Stanner E.V. Taylor,,"Gertrude chooses Jim over Jack, which makes Jack very jealous. Later Jim dies, and Jack marries Gertrude. He finds himself once again very jealous of the late Lucky Jim.",tt00000945,65,
1.33 : 1,4.8,,,United Kingdom,Theo Frenkel,"Short , Drama",None,,June 1909 (United Kingdom),,Silent,,The Luck of the Cards,,,A busker becomes a prima donna and the crowd saves her from a jealous gambler's knife.,tt00000944,11,
1.33 : 1,,,,United States,D.W. Griffith,"Short , Comedy",,,"January 11, 1909 (United States)",5min,Silent,"Anita Hendrie , Arthur V. Johnson , Marion Leonard",Love Finds a Way,D.W. Griffith,,"A comedy drama of mediaeval days, when Cupid was obliged to work overtime, and be an inventive genius of subtle powers, resorting to artifice and cunning to work his felicitous plans. In thi...",tt00000943,,
1.33 : 1,6.1,,,United States,D.W. Griffith,"Short , Crime , Drama",,,"June 10, 1909 (United States)",8min,Silent,"David Miles , Marion Leonard , Mary Pickford",The Lonely Villa,,2,"A gang of thieves lure a man out of his home so that they can rob it and threaten his wife and children. The family barricade themselves in an interior room, but the criminals are well-equip...",tt00000942,904,13
1.33 : 1,4.5,,,United States,D.W. Griffith,,,,"March 15, 1909 (United States)",6min,Silent,"Marion Leonard , Harry Solter , Florence Lawrence",The Lure of the Gown,D.W. Griffith,,"""Fine feathers make fine birds.'' and handsome gowns make handsome women, and a handsome woman is the most fascinating thing extant. Hence it is when Isabelle appears on the scene clad in a ...",tt00000946,68,
1.33 : 1,,,,United States,J. Searle Dawley,"Short , Drama",,,"August 6, 1909 (United States)",,Silent,"Marc McDermott , Mary Fuller , Harold M. Shaw",Lochinvar,,,"Sir Walter Raleigh's romantic story of the love that laughed at more than locksmiths, and to which even castle walls and haughty fathers were no bar, is told by the Edison Company with a wea...",tt00000940,,
1.33 : 1,5.4,,,United States,D.W. Griffith,"Short , Drama",,,"October 11, 1909 (United States)",11min,Silent,"Mary Pickford , Arthur V. Johnson , Edward Dillon",The Little Teacher,Mary Pickford,,"A young female teacher is assigned to an unruly class. After a student revolt, a passing surveyor helps her restore order, and the teacher becomes interested in him. Soon she learns that he ...",tt00000939,18,
1.33 : 1,4.5,,,United States,D.W. Griffith,"Short , Comedy",,,"September 2, 1909 (United States)",2min,Silent,"Mary Pickford , Charles Avery , Verner Clarges",The Little Darling,D.W. Griffith,,"Lillie runs a boarding house full of young bachelors. A friend writes to say she's sending her little darling daughter for a visit. The bachelors all buy toys for a little girl, but an attra...",tt00000938,167,
1.33 : 1,6.7,,,United States,D.W. Griffith,"Short , Drama",,,"October 28, 1909 (United States)",11min,Silent,"Linda Arvidson , George Nichols , James Kirkwood",Lines of White on a Sullen Sea,,,"Soon after their engagement, Bill goes to sea, and Emily vows to stay true until his return. Unknown to her, Bill marries another woman from a different port. Emily waits faithfully for six ...",tt00000936,79,
1.33 : 1,6.2,,,United States,D.W. Griffith,"Short , Drama",,,"November 8, 1909 (United States)",11min,Silent,"Marion Leonard , Mary Pickford , Ruth Hart",The Light That Came,D.W. Griffith,,A disfigured young woman with two beautiful sisters is courted by a blind man. Will he still love her when his sight is restored?,tt00000935,84,
1.33 : 1,3.9,,,Denmark,Viggo Larsen,"Short , Drama",None,,"April 17, 1909 (Denmark)",,Silent,"August Blom , Gudrun Kjerulf , Viggo Larsen",En kvinde af folket,A.C. Meyer,,"Eve S. takes lunch to her father, who is working at Mr. Young's factory. By chance the young and handsome manufacturer sees her; he falls in love with her, and after a short talk tries to ki...",tt00000932,10,
1.33 : 1,3.6,,,Germany,Heinrich Bolten-Baeckers,,,,"November 8, 1909 (Germany)",,Silent,,Der kleine Detektiv,,,,tt00000930,12,
1.33 : 1,4.8,,,United States,D.W. Griffith,"Short , Adventure",,,"September 27, 1909 (United States)",11min,Silent,"George Nichols , Marion Leonard , Linda Arvidson",Leather Stocking,,,"A short version of James Fenimore Cooper's famous tale about Natty Bumppo, or ""Hawkeye,"" and his exploits during the French and Indian war.",tt00000934,17,
,4.8,,,Spain,,,None,,,,Silent,"José Argelagués , Joaquín Carrasco , José Durany",Locura de amor,,,,tt00000941,23,
1.33 : 1,,,,Denmark,Viggo Larsen,,None,,"March 21, 1910 (Denmark)",,Silent,"Edith Buemann , Gudrun Kjerulf , Viggo Larsen",Dødsspringet,,,"Pierre and Marcelle are two circus artists that love, I've and work together. Presently they are engaged at the Hippodrome where the Italian singer Lola is the star. Lola has eyes for Pierre...",tt00000931,,
1.33 : 1,5.2,,,Germany,Heinrich Bolten-Baeckers,"Short , Comedy",,,,,Silent,"Ernst Behmer , Victor Colani , Curt Bois",Klebolin klebt alles,,,,tt00000929,43,
1.33 : 1,4.9,,,United States,D.W. Griffith,"Short , Comedy , Drama",,,"April 19, 1909 (United States)",8min,Silent,"Florence Lawrence , Dorothy Bernard , John R. Cumpson",Lady Helen's Escapade,Stanner E.V. Taylor,,"Prizes gained without effort are never valuable, and, though we don't appreciate it, the longing for something makes existence sweet; hence if one has everything there is nothing to long for...",tt00000933,46,
1.33 : 1,,,,United Kingdom,George Albert Smith,,None,,September 1909 (United Kingdom),,Silent,,Kinemacolor Puzzle,,,Two coloured discs revolve in kaleidoscopic fashion.,tt00000927,,
1.33 : 1,,,,Spain,,"Short , Drama",None,,,,Silent,,El joyero,,,,tt00000923,,
1.33 : 1,6.7,,,United States,D.W. Griffith,"Short , Drama",,,"October 28, 1909 (United States)",11min,Silent,"Linda Arvidson , George Nichols , James Kirkwood",Lines of White on a Sullen Sea,,,"Soon after their engagement, Bill goes to sea, and Emily vows to stay true until his return. Unknown to her, Bill marries another woman from a different port. Emily waits faithfully for six ...",tt0000936,79,
1.33 : 1,4.5,,,United States,D.W. Griffith,"Short , Comedy",,,"March 29, 1909 (United States)",5min,Silent,"John R. Cumpson , Florence Lawrence , Anita Hendrie",Jones and His New Neighbors,D.W. Griffith,,Jones' new house looks like all the others on the street. One night Jones enters the wrong house and finds himself in a precarious situation.,tt00000920,22,
1.33 : 1,5.5,,,United States,,"Drama , Short",None,,"March 27, 1909 (United States)",16min,Silent,"William V. Ranous , Julia Arthur , (unconfirmed) , Florence Auer , (unconfirmed)",King Lear,,,"An aging King invites disaster when he abdicates to his corrupt, toadying daughters and rejects his one loving, but honest one.",tt00000928,88,
1.33 : 1,6.1,,,France,Émile Cohl,"Animation , Short",,,"July 10, 1909 (United States)",5min,Silent,,Les joyeux microbes,,,This subject will give rise to unrestrained laughter and will infect your entire audience with the jovial microbe. A learned man is seen in his laboratory studying microbes. His friend enter...,tt00000924,159,
1.33 : 1,,,,United States,Gilbert M. 'Broncho Billy' Anderson,"Short , Western",None,,"November 27, 1909 (United States)",,Silent,"Gilbert M. 'Broncho Billy' Anderson , Pete Morrison",Judgment,Gilbert M. 'Broncho Billy' Anderson,,"The scene takes place on a Western ranch in Wyoming. Jim Flanders, a wealthy ranchman, has a beautiful daughter, Alice, who is loved by Tom Ripley, the foreman of the ranch. The match is obj...",tt00000925,,
1.33 : 1,,,,Spain,,"Short , Drama , History",,,1909 (Spain),,Silent,,Justicia de Felipe II,,,,tt00000926,,
1.33 : 1,3.8,,,United States,D.W. Griffith,"Short , Drama",,,"May 17, 1909 (United States)",11min,Silent,"Arthur V. Johnson , Owen Moore , Florence Lawrence",The Jilt,D.W. Griffith,,John is seduced and abandoned by a cruel flirt. Later he learns that his friend Frank is engaged to the same woman. He relates his story to Frank and convinces him to jilt her at the altar.,tt00000919,22,
1.33 : 1,5.5,,,United States,D.W. Griffith,"Short , Comedy",,,"May 10, 1909 (United States)",6min,Silent,"John R. Cumpson , Florence Lawrence , Mack Sennett",Jones and the Lady Book Agent,D.W. Griffith,,"After overhearing Jones mocking her, the lady book agent slips a suggestive note into Jones's pocket. A jealous Mrs. Jones finds the note, and a huge quarrel erupts.",tt00000921,24,
1.33 : 1,5.6,,,United States,D.W. Griffith,"Short , Comedy",,,"February 18, 1909 (United States)",4min,Silent,"John R. Cumpson , Florence Lawrence , Linda Arvidson",The Joneses Have Amateur Theatricals,D.W. Griffith,,"Well, here we pay another visit to the Jones' domicile, with the same amusing results, for Jones cannot help being funny, and we feel sure that his obituary, not that we are in a hurry to wr...",tt00000922,98,
1.33 : 1,,,,United States,Van Dyke Brooke,"Short , Drama",None,,"February 9, 1909 (United States)",,Silent,,"Jessie, the Stolen Child",,,"A gypsy caravan passes slowly along the country road. Hugo, on the front seat, drives lazily: Bill, his companion, sits on the back of the wagon smoking, while Liza, another member of the tr...",tt00000918,,
1.33 : 1,,,,United States,D.W. Griffith,"Short , Comedy",,,"July 22, 1909 (United States)",5min,Silent,"James Kirkwood , Florence Lawrence , Gladys Egan",Jealousy and the Man,D.W. Griffith,,House painter Jim Brooks thinks his wife is cheating on him with his best friend John West. The intrigue is in fact a birthday surprise.,tt00000917,,
